UUID;Word;Description;
a3d078ad-2ae4-4f59-865a-3be9b21a972a;Honeydew;Apple;
f680d9ac-9225-41e2-a507-0f75a5a580d5;Lemon;Lemon;
70ca4541-3875-412e-9711-ddcfcfeaf7ef;Tree;Morning;
1b2e9140-c588-4026-ab3e-41a4bbd58a3f;Honeydew;Grape;
b775729b-1c08-419f-82db-e2834084bd61;Apple;Night;
034db69a-f999-4b2e-bcdd-52c2a4a35a4b;Evening;Lemon;
dcd38df4-26f3-40c2-945f-1c5bda5524d3;Honeydew;Tree;
220a3c95-b90d-49c1-92a7-acd6b8f28fc4;Tree;Evening;
1083db48-dcac-4546-9a50-fa0f6b025b1f;Evening;Tree;
88498b5a-18c1-4eb7-bb81-468f19761ff2;Tree;Apple;
fe4d83aa-c7b4-4e80-9971-c743fb02ed85;Banana;Morning;
1a7f9fb1-2f76-4c6e-9e1f-5b251013784c;Tree;Apple;
7fbbb784-a48e-4130-872f-7ade5d168ae7;Evening;Afternoon;
f75b36d7-7046-4c30-bae3-4e61455e5bcb;Lemon;Night;
b87ab1a2-70ca-4af7-9f9f-07526b1aed08;Evening;Tree;
b2653458-914d-4333-bd2a-39f2fc8b64ee;Night;Kiwi;
e8f90dc6-685a-4a46-842d-8a5d9cb6335b;Morning;Apple;
40ab9b1e-18ee-45bf-b7b6-3c641ae33dd8;Evening;Lemon;
a645b5dc-b527-447e-a2b8-38a53bf24287;Banana;Evening;
53744215-fdb3-4476-94db-16ae231e693c;Honeydew;Banana;
8a60e370-06e6-4a19-9bc2-11a0ed23c706;Afternoon;Grape;
738d1650-cb5e-45a1-905b-e4641cea462c;Apple;Grape;
2d517178-404c-4ef1-ba66-e574e55b5f85;Honeydew;Morning;
c13b964a-20f9-4076-aa02-d332c0a3fff2;Tree;Lemon;
33c474ac-7bfe-4633-acaa-dd4e92c44c50;Lemon;Honeydew;
39ba88e6-c24f-45e4-bd43-6bdcb15680c7;Evening;Evening;
ab1b571c-7a4e-4aa4-8566-d0f20916b940;Lemon;Evening;
edefe98d-a81f-450a-8f27-124f33249dba;Night;Tree;
42419f7e-5877-49ec-a3c7-7ab60699ecd0;Honeydew;Kiwi;
745d1bec-6eac-4fa2-a6c3-5d87c4b7aac9;Banana;Morning;
4044836f-a9ed-4ce1-853b-3939655b16b3;Grape;Honeydew;
01c55e71-e390-4bc8-b41b-dee51def69a7;Banana;Lemon;
fb4f78e4-224b-472a-9f1c-6f3f3110b8fe;Lemon;Kiwi;
72c1f4d5-c6e4-4f45-ba21-aee0354328a6;Honeydew;Tree;
a241a78c-0dea-4ad1-afff-ed82e04045ed;Lemon;Evening;
ed6de89e-44ec-4e13-820b-3c44484c734c;Apple;Lemon;
10500167-2a5f-449f-8be2-df246393cae3;Afternoon;Night;
73321cfe-89ef-49f0-8eb8-abc788405b85;Grape;Banana;
5c1fdad0-f986-4b4b-83f5-cd4a854ed985;Morning;Grape;
1b19114d-1328-4276-85c7-712e844e054f;Night;Kiwi;
ac83260c-2913-4b92-9a7f-a3960ba785d2;Afternoon;Evening;
b2598cf2-c095-4114-9609-236cf21ad660;Night;Morning;
658ed7c9-6bd0-409e-b068-4fe7f77d90c5;Grape;Kiwi;
5af4e134-a217-4413-a1dc-7e3051bafb1b;Evening;Morning;
5b245d2b-236c-41bf-89b4-8aea006deb28;Honeydew;Lemon;
acaf3d53-bb9a-45bb-9c57-89abd82ad8cf;Lemon;Night;
3bda2895-5634-4a52-8935-1620959592c3;Afternoon;Honeydew;
8466603c-a4ab-4876-bc35-6f99070abbf2;Grape;Night;
32b310fc-d593-4225-8c3e-894d0707030a;Night;Tree;
60b98f28-dd91-43af-927a-6e462dbb0d9b;Morning;Kiwi;
15f3f26d-e87b-4050-b234-1568d404ace0;Apple;Honeydew;
cf7a2eea-36f4-4394-b78f-d249d8c94b2e;Afternoon;Kiwi;
b52ebe5e-0fbe-480b-8155-f124aca60f2d;Banana;Night;
ad2b6eec-e49f-4888-a206-dd41f937ce5f;Banana;Kiwi;
0a5929d1-25b3-4e08-867f-30ca2d4543ee;Grape;Afternoon;
3d8b8e9b-5235-4d7f-8c2c-b1a85220a700;Kiwi;Night;
2fe4c1f7-b147-4258-a3a9-854e4d858a93;Afternoon;Evening;
2c9f00df-6c22-495d-aae3-b70ccf439622;Night;Lemon;
6271ab89-a61f-4ec9-b5fc-1ba8d438c391;Tree;Tree;
aa6a9a33-beca-4540-a8d5-70e1970b39da;Lemon;Apple;
c5314814-cf8a-41b6-a398-3424db8e4fed;Lemon;Afternoon;
b560f489-a04c-4ba9-ba1f-f72c7f8978e1;Banana;Honeydew;
580ba6c3-9b25-4b3e-b49d-63b26f633ebd;Grape;Morning;
bfef56be-5e35-4c33-af65-c3e64f2555ef;Banana;Honeydew;
c7ebada9-061b-4780-ab9b-418bcd79af6c;Grape;Morning;
